Timestamp,Palkansaaja vai laskuttaja,Oletko siirtynyt palkansaajasta laskuttajaksi tai päinvastoin 1.10.2023 jälkeen?,Ikä,Sukupuoli,Työkokemus alalta (vuosina),Koulutustaustasi,Tulojen muutos viime vuodesta (%),Montako vuotta olet tehnyt laskuttavaa työtä alalla?,Palvelut,"Tuntilaskutus (ALV 0%, euroina)","Vuosilaskutus (ALV 0%, euroina)",Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?,Mistä asiakkaat ovat?,Työpaikka,Kaupunki,Millaisessa yrityksessä työskentelet?,Työaika,Kuinka suuren osan ajasta teet lähityönä toimistolla?,Rooli,Kuukausipalkka,Vuositulot,Vapaa kuvaus kokonaiskompensaatiomallista,Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?,Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen? (muut vastaukset),Vapaa sana,Palaute,Vastauskieli,Vastaustunniste,Rooli (normalisoitu),Kk-tulot (laskennallinen),"Kk-tulot (laskennallinen, normalisoitu)"
2024-10-07 10:05:39.380,Palkansaaja,Ei,46-50,,25.0,,3.0,,,,,,,,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.5,,8750.0,110000.0,Palkka + vuosibonus,Kyllä,,,,fi,0cc7d7ce7d418c98,,9166.666666666666,9166.666666666666
2024-10-07 10:06:12.205,Palkansaaja,Ei,31-35,mies,11.0,tietotekniikan kandidaatti,2.0,,,,,,,,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.1,Site Reliability Engineer,5100.0,65200.0,,Kyllä,,,,fi,5930ded0f016a9ef,Site Reliability Engineer,5433.333333333333,5433.333333333333
2024-10-07 10:07:00.564,Palkansaaja,Ei,36-40,mies,12.0,Ylioppilas,0.0,,,,,,,,PK-seutu,Konsulttitalossa,1.0,0.05,Fullstack developer ,5850.0,105000.0,Palkka+osinko,Kyllä,,,,fi,6a83c419393c1121,*Full-stack Developer,8750.0,8750.0
2024-10-07 10:07:20.023,Palkansaaja,Ei,41-45,mies,15.0,DI,,,,,,,,,Tampere,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.3,Lead,6800.0,81600.0,Rahapalkka,Kyllä,,,,fi,2d2b3fbfcf27aa0b,Lead,6800.0,6800.0
2024-10-07 10:07:35.416,Palkansaaja,Ei,41-45,nainen,9.0,IT-tradenomi,0.0,,,,,,,,Helsinki & Tampere,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.2,"Software developer, fullstack Clojure/script",4730.0,61500.0,,Kyllä,,,,fi,6b6dc4394a98cd4d,"Software developer, fullstack Clojure/script",5125.0,5125.0
2024-10-07 10:07:54.251,Palkansaaja,Ei,41-45,mies,14.0,,-5.0,,,,,,,Pieni tuotetalo,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.5,Technical project manager,6660.0,83250.0,,Kyllä,,,,fi,1a074cdc4fa2e773,Technical project manager,6937.5,6937.5
2024-10-07 10:08:41.143,Palkansaaja,Ei,31-35,mies,13.0,FM (Tietojenkäsittelytiede),0.0,,,,,,,Compile,PK-seutu,Konsulttitalossa,1.0,0.15,Software Specialist,7200.0,90000.0,Henkilöstörahasto bonuksille,Muu,Siinä ja siinä,,,fi,1296a91aa718e707,Software Specialist,7500.0,7500.0
2024-10-07 10:08:48.660,Palkansaaja,Ei,36-40,mies,20.0,DI,-100.0,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,1.0,CTO,0.0,0.0,omistaja,Ei,,kiitos,,fi,e9678f135fec1969,CTO,0.0,0.0
2024-10-07 10:08:54.790,Palkansaaja,Ei,36-40,mies,15.0,Insinööri (AMK),0.0,,,,,,,Exove,PK-seutu,Konsulttitalossa,1.0,0.01,Senior Developer,4300.0,,,Ei,,,,fi,cbfd353e42764f94,*Senior Developer,,
2024-10-07 10:09:26.635,Laskuttaja,Ei,31-35,mies,10.0,"Lukio, alkaneet tietojenkäsittelytieteen yliopisto-opinnot mutta ei papereita",-20.0,5.0,"Full stack, tech lead, AWS, pilvi, devops",85.0,,"Itse, Käytän välitysfirmoja",Suomesta,,,,,,,,,,Muu,,,,fi,5538dd6fa67da2c3,,,
2024-10-07 10:09:57.964,Laskuttaja,Ei,41-45,mies,18.0,Tietojenkäsittelytieteen maisteri,9.0,6.0,Full stack ja DevOps.,94.0,200000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,Muu,,,,fi,ce5fb06ae575a456,,,
2024-10-07 10:10:36.393,Palkansaaja,Ei,46-50,nainen,5.0,YTT,3.0,,,,,,,Futurice,Tampere,Konsulttitalossa,1.0,0.1,Software developer,3923.0,41680.0,,Ei,,,,fi,deaf83882d5476a2,Software developer,3473.3333333333335,3473.3333333333335
2024-10-07 10:10:49.226,Palkansaaja,Ei,26-30,mies,4.0,Tekniikan maisteritutkinto,8.5,,,,,,,Knowit,PK-seutu,Konsulttitalossa,1.0,0.9,Test Automation Engineer,4523.0,59500.0,Palkka + edut (Edenred) suunnilleen,Muu,Varmaan saman kuin muut sisäisesti mutta vaihtamalla voisi parantua,,"Hyvä kysely, mukava pingi",fi,3d6406d44d940ff7,Test Automation Engineer,4958.333333333333,4958.333333333333
2024-10-07 10:11:17.261,Palkansaaja,Ei,31-35,mies,5.0,Diplomi-insinööri,6.0,,,,,,,Solita,Jyväskylä,Konsulttitalossa,1.0,0.75,Data engineer,4550.0,59000.0,,Kyllä,,,,fi,7e33c1d706029b7a,Data engineer,4916.666666666667,4916.666666666667
2024-10-07 10:12:38.426,Palkansaaja,Ei,41-45,mies,20.0,Luonnontieteiden Kandidaatti,1.0,,,,,,,SOK,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.8,Payment Backend Developer,7400.0,100000.0,Kk-palkkaan sidottu bonus,Kyllä,,,,fi,ffcee198d40d94d2,Payment Backend Developer,8333.333333333334,8333.333333333334
